attendance,studyHours,internalTotal,assignments,participation,performance
70,5.0,188,4,Medium,Fail
91,1.6,141,1,High,Fail
75,2.1,167,4,Medium,Fail
56,4.1,209,4,Medium,Fail
81,4.2,145,3,Low,Fail
45,3.3,133,4,High,Fail
81,2.0,105,1,Low,Fail
92,0.9,83,2,High,Fail
47,2.0,130,4,Low,Fail
95,2.8,139,5,Low,Fail
56,5.7,157,3,Medium,Fail
82,1.5,104,3,High,Fail
50,3.3,162,5,High,Fail
64,3.7,212,3,Low,Fail
88,2.8,137,4,Low,Fail
97,1.7,142,3,Low,Fail
97,1.1,95,2,Low,Fail
55,2.4,155,4,Low,Fail
52,0.8,134,6,Medium,Fail
97,5.2,178,2,High,Fail
74,3.9,136,0,Medium,Fail
48,2.9,125,0,Medium,Fail
87,2.6,182,0,Medium,Fail
91,1.7,157,6,Medium,Fail
87,1.8,158,6,High,Fail
65,0.6,177,2,High,Fail
66,5.3,114,4,High,Fail
50,3.0,115,1,Low,Fail
67,4.4,160,2,Medium,Fail
94,5.5,116,4,Low,Fail
94,5.4,154,0,Medium,Fail
69,3.2,179,1,Medium,Fail
96,2.8,77,1,High,Fail
98,2.6,175,5,High,Fail
91,1.1,170,6,Low,Fail
72,0.6,146,4,Medium,Fail
96,2.3,216,0,Low,Fail
57,5.4,116,5,Low,Fail
72,4.2,146,1,Medium,Fail
84,1.4,162,5,Low,Fail
96,4.5,121,4,High,Fail
81,5.8,142,0,High,Fail
91,5.4,141,0,Low,Fail
79,1.0,173,5,Medium,Fail
98,0.6,119,5,High,Fail
65,2.5,121,5,Low,Fail
92,1.0,158,3,Low,Fail
75,0.9,196,2,Low,Fail
66,3.9,158,2,Medium,Fail
70,0.5,89,4,Medium,Fail
99,4.9,135,6,Medium,Fail
73,3.5,139,4,High,Fail
76,3.1,178,3,Low,Fail
94,2.7,127,1,Medium,Fail
70,5.3,156,4,Medium,Fail
73,5.4,161,3,Medium,Fail
89,5.4,167,4,Low,Fail
67,0.7,173,3,Medium,Fail
65,4.7,123,1,Medium,Fail
65,1.1,132,3,Low,Fail
86,5.3,139,2,High,Fail
89,0.6,99,5,Medium,Fail
66,2.8,116,0,Medium,Fail
94,3.0,137,2,Low,Fail
80,2.5,175,4,Low,Fail
45,2.9,133,5,Medium,Fail
51,4.0,124,2,High,Fail
53,2.9,197,0,High,Fail
54,0.8,150,0,High,Fail
82,1.9,206,2,High,Fail
95,4.6,195,0,Medium,Fail
75,5.0,174,0,Medium,Fail
88,6.0,118,0,Medium,Fail
48,2.0,125,6,Medium,Fail
72,2.1,152,0,High,Fail
49,1.0,150,2,Low,Fail
71,2.9,140,2,Medium,Fail
66,3.2,134,3,Low,Fail
62,2.8,174,1,High,Fail
47,1.6,170,3,Low,Fail
69,2.0,123,6,High,Fail
94,1.1,183,2,Low,Fail
77,2.1,117,2,Medium,Fail
78,1.0,120,1,Medium,Fail
79,3.5,126,6,Low,Fail
64,3.1,154,6,High,Fail
92,2.4,142,3,Medium,Fail
84,4.2,171,4,High,Fail
73,4.0,165,3,Low,Fail
49,1.4,106,1,Low,Fail
60,3.6,158,5,Medium,Fail
62,2.7,143,6,High,Fail
93,2.1,206,0,Low,Fail
96,4.0,155,2,Medium,Fail
47,3.8,182,1,Medium,Fail
55,6.0,165,2,High,Fail
56,5.6,95,6,Low,Fail
70,1.8,145,2,Medium,Fail
75,2.5,196,4,Low,Fail
85,5.9,110,4,Low,Fail
45,3.8,119,0,Medium,Fail
45,4.5,149,6,Medium,Fail
84,4.6,122,1,High,Fail
81,4.4,178,6,Medium,Fail
76,2.4,143,3,Medium,Fail
99,4.2,158,0,Low,Fail
51,0.9,125,0,High,Fail
66,1.8,153,2,Medium,Fail
97,1.7,178,3,Medium,Fail
49,2.0,165,4,Medium,Fail
73,4.2,166,2,Medium,Fail
96,2.6,189,2,Medium,Fail
87,3.2,160,5,Medium,Fail
47,4.8,160,4,Low,Fail
99,1.4,128,4,Medium,Fail
94,3.2,109,0,Low,Fail
89,2.3,108,1,Medium,Fail
